order_id,customer_id,order_date,product_id,product_name,product_price,quantity
1001,C001,2023-07-15,P101,Wireless Mouse,29.99,2
1002,C002,2023-07-16,P102,USB-C Cable,14.99,3
1003,C001,2023-07-17,P103,Bluetooth Headphones,79.99,1
1004,C003,2023-07-17,P104,Laptop Stand,34.99,1
1005,C002,2023-07-18,P105,Portable Charger,49.99,2
1006,C004,2023-07-18,P106,Webcam,59.99,1
1007,C005,2023-07-19,P107,Mechanical Keyboard,89.99,1
1008,C006,2023-07-19,P108,Wireless Keyboard,69.99,1
1009,C007,2023-07-20,P109,Gaming Mouse,49.99,1
1010,C008,2023-07-20,P110,External SSD,119.99,1
1011,C009,2023-07-21,P111,Monitor Stand,39.99,2
1012,C010,2023-07-21,P112,HDMI Cable,9.99,3
1013,C011,2023-07-22,P113,Noise-Cancelling Earbuds,129.99,1
1014,C012,2023-07-22,P114,Wireless Charger,24.99,2
1015,C013,2023-07-23,P115,Laptop Sleeve,19.99,1
1016,C014,2023-07-23,P116,USB Hub,29.99,1
1017,C015,2023-07-24,P117,Ergonomic Mouse,39.99,1
1018,C016,2023-07-24,P118,Laptop Cooling Pad,34.99,1
1019,C017,2023-07-25,P119,Desk Lamp,44.99,1
1020,C018,2023-07-25,P120,Desk Organizer,24.99,2
1021,C019,2023-07-26,P121,Wireless Presenter,29.99,1
1022,C020,2023-07-26,P122,Laptop Backpack,59.99,1
1023,C021,2023-07-27,P123,Webcam Light,39.99,1
1024,C022,2023-07-27,P124,Screen Cleaner Kit,14.99,2
1025,C023,2023-07-28,P125,Surge Protector,29.99,1
1026,C024,2023-07-28,P126,Tablet Stand,19.99,2
1027,C025,2023-07-29,P127,Wireless Earbuds,89.99,1
1028,C026,2023-07-29,P128,Desk Mat,24.99,1
1029,C027,2023-07-30,P129,Cable Management Kit,19.99,1
1030,C028,2023-07-30,P130,Portable Monitor,199.99,1
1031,C029,2023-07-31,P131,Laptop Privacy Screen,34.99,1
1032,C030,2023-07-31,P132,Bluetooth Speaker,79.99,1
1033,C031,2023-08-01,P133,Wireless Mouse Pad,39.99,1
1034,C032,2023-08-01,P134,USB Flash Drive,19.99,2
1035,C033,2023-08-02,P135,Screen Protector,14.99,2
1036,C034,2023-08-02,P136,Laptop Docking Station,129.99,1
1037,C035,2023-08-03,P137,Ergonomic Keyboard,99.99,1
1038,C036,2023-08-03,P138,Desk Clamp Power Strip,39.99,1
1039,C037,2023-08-04,P139,Trackball Mouse,49.99,1
1040,C038,2023-08-04,P140,Laptop Fan,29.99,1
1041,C039,2023-08-05,P141,Laptop Stand with Fan,49.99,1
1042,C040,2023-08-05,P142,Wrist Rest,19.99,2
1043,C041,2023-08-06,P143,Laptop Skin,14.99,1
1044,C042,2023-08-06,P144,Cable Clips,9.99,3
1045,C043,2023-08-07,P145,Laptop Battery,79.99,1
1046,C044,2023-08-07,P146,Bluetooth Adapter,14.99,2
1047,C045,2023-08-08,P147,Laptop Cooling Stand,39.99,1
1048,C046,2023-08-08,P148,Vertical Mouse,34.99,1
1049,C047,2023-08-09,P149,Laptop Power Bank,89.99,1
1050,C048,2023-08-09,P150,Laptop Screen Extender,199.99,1
